Week,Home,Away,Predicted Goals (Home),Predicted Goals (Away),goal_diff,Home Clean Sheet %,Away Clean Sheet %
24.0,Fulham,Bournemouth,1.65,1.31,0.34,27.0,19.0
24.0,Tottenham,Brighton,1.58,1.62,0.04,20.0,21.0
24.0,Aston Villa,Manchester Utd,2.54,1.09,1.45,34.0,8.0
25.0,Newcastle Utd,Bournemouth,3.49,0.68,2.81,51.0,3.0
25.0,Tottenham,Wolves,2.02,1.24,0.77,28.999999999999996,13.0
25.0,Luton Town,Manchester Utd,1.25,1.98,0.73,14.000000000000002,28.999999999999996
25.0,Everton,Crystal Palace,1.78,1.0,0.78,37.0,17.0
25.0,Burnley,Arsenal,0.42,2.56,2.14,8.0,66.0
25.0,Manchester City,Chelsea,1.81,1.08,0.73,34.0,16.0
25.0,Fulham,Aston Villa,0.9,2.6,1.69,7.000000000000001,41.0
25.0,Sheffield Utd,Brighton,0.71,2.62,1.9,7.000000000000001,49.0
25.0,Brentford,Liverpool,1.54,1.85,0.31,16.0,21.0
25.0,Nott'ham Forest,West Ham,1.49,1.4,0.09,25.0,23.0
26.0,West Ham,Brentford,1.32,2.13,0.8,12.0,27.0
26.0,Manchester Utd,Fulham,2.24,1.0,1.25,37.0,11.0
26.0,Liverpool,Luton Town,3.85,0.71,3.14,49.0,2.0
26.0,Chelsea,Tottenham,2.53,1.09,1.45,34.0,8.0
26.0,Crystal Palace,Burnley,1.93,0.7,1.23,50.0,15.0
26.0,Arsenal,Newcastle Utd,1.56,0.95,0.61,39.0,21.0
26.0,Wolves,Sheffield Utd,2.45,0.74,1.71,48.0,9.0
26.0,Brighton,Everton,1.7,1.25,0.45,28.999999999999996,18.0
26.0,Aston Villa,Nott'ham Forest,2.61,0.78,1.83,46.0,7.000000000000001
26.0,Bournemouth,Manchester City,0.64,3.01,2.37,5.0,53.0
27.0,Fulham,Brighton,0.97,2.13,1.16,12.0,38.0
27.0,Sheffield Utd,Arsenal,0.4,3.04,2.64,5.0,67.0
27.0,Luton Town,Aston Villa,0.93,2.81,1.88,6.0,39.0
27.0,Manchester City,Manchester Utd,2.71,0.73,1.99,48.0,7.000000000000001
27.0,Tottenham,Crystal Palace,1.83,1.16,0.67,31.0,16.0
27.0,Brentford,Chelsea,1.49,1.73,0.24,18.0,23.0
27.0,Newcastle Utd,Wolves,2.61,0.84,1.77,43.0,7.000000000000001
27.0,Nott'ham Forest,Liverpool,0.89,2.39,1.51,9.0,41.0
27.0,Everton,West Ham,2.24,1.11,1.13,33.0,11.0
27.0,Burnley,Bournemouth,1.26,1.35,0.1,26.0,28.000000000000004
28.0,Arsenal,Brentford,1.93,0.82,1.11,44.0,15.0
28.0,Bournemouth,Sheffield Utd,1.97,0.99,0.97,37.0,14.000000000000002
28.0,Liverpool,Manchester City,1.41,1.53,0.12,22.0,24.0
28.0,West Ham,Burnley,2.15,0.88,1.26,41.0,12.0
28.0,Aston Villa,Tottenham,2.41,1.21,1.2,30.0,9.0
28.0,Wolves,Fulham,2.0,1.01,0.99,36.0,14.000000000000002
28.0,Chelsea,Newcastle Utd,1.72,1.41,0.31,24.0,18.0
28.0,Brighton,Nott'ham Forest,2.14,0.83,1.31,44.0,12.0
28.0,Crystal Palace,Luton Town,2.02,0.94,1.08,39.0,13.0
28.0,Manchester Utd,Everton,1.47,1.57,0.11,21.0,23.0
29.0,Wolves,Bournemouth,2.17,1.06,1.1,35.0,11.0
29.0,Arsenal,Chelsea,1.62,0.98,0.64,38.0,20.0
29.0,Brighton,Manchester City,1.03,1.76,0.73,17.0,36.0
29.0,Manchester Utd,Sheffield Utd,2.75,0.73,2.02,48.0,6.0
29.0,Luton Town,Nott'ham Forest,1.28,1.42,0.14,24.0,28.000000000000004
29.0,Fulham,Tottenham,1.16,2.03,0.88,13.0,31.0
29.0,Everton,Liverpool,1.33,1.9,0.57,15.0,26.0
29.0,Burnley,Brentford,0.74,2.36,1.62,9.0,48.0
29.0,Crystal Palace,Newcastle Utd,0.96,1.95,0.98,14.000000000000002,38.0
29.0,West Ham,Aston Villa,1.24,2.42,1.18,9.0,28.999999999999996
30.0,Bournemouth,Everton,1.05,2.13,1.09,12.0,35.0
30.0,Newcastle Utd,West Ham,3.0,0.88,2.12,41.0,5.0
30.0,Brentford,Manchester Utd,2.23,1.17,1.07,31.0,11.0
30.0,Aston Villa,Wolves,2.57,0.97,1.6,38.0,8.0
30.0,Tottenham,Luton Town,2.68,0.97,1.71,38.0,7.000000000000001
30.0,Manchester City,Arsenal,1.22,0.98,0.24,38.0,30.0
30.0,Nott'ham Forest,Crystal Palace,1.18,1.26,0.07,28.000000000000004,31.0
30.0,Sheffield Utd,Fulham,1.12,1.53,0.41,22.0,33.0
30.0,Liverpool,Brighton,2.26,1.18,1.08,31.0,10.0
30.0,Chelsea,Burnley,3.43,0.51,2.93,60.0,3.0
31.0,Bournemouth,Crystal Palace,1.18,1.66,0.47,19.0,31.0
31.0,West Ham,Tottenham,1.58,1.89,0.31,15.0,21.0
31.0,Nott'ham Forest,Fulham,1.6,1.02,0.58,36.0,20.0
31.0,Arsenal,Luton Town,3.27,0.46,2.82,63.0,4.0
31.0,Brentford,Brighton,1.77,1.36,0.42,26.0,17.0
31.0,Burnley,Wolves,0.94,1.69,0.75,18.0,39.0
31.0,Liverpool,Sheffield Utd,4.37,0.51,3.86,60.0,1.0
31.0,Newcastle Utd,Everton,2.11,1.02,1.09,36.0,12.0
31.0,Manchester City,Aston Villa,2.02,1.03,0.99,36.0,13.0
31.0,Chelsea,Manchester Utd,2.66,0.98,1.68,38.0,7.000000000000001
32.0,Luton Town,Bournemouth,1.69,1.42,0.27,24.0,18.0
32.0,Brighton,Arsenal,0.94,1.57,0.64,21.0,39.0
32.0,Wolves,West Ham,1.86,1.38,0.48,25.0,16.0
32.0,Tottenham,Nott'ham Forest,2.04,1.0,1.04,37.0,13.0
32.0,Fulham,Newcastle Utd,0.78,2.64,1.85,7.000000000000001,46.0
32.0,Everton,Burnley,2.48,0.62,1.86,54.0,8.0
32.0,Sheffield Utd,Chelsea,0.6,3.34,2.74,4.0,55.00000000000001
32.0,Manchester Utd,Liverpool,1.24,2.33,1.09,10.0,28.999999999999996
32.0,Aston Villa,Brentford,2.02,1.36,0.66,26.0,13.0
32.0,Crystal Palace,Manchester City,0.74,2.05,1.31,13.0,48.0
33.0,Chelsea,Everton,2.17,1.05,1.12,35.0,11.0
33.0,Bournemouth,Manchester Utd,1.28,1.99,0.7,14.000000000000002,28.000000000000004
33.0,Manchester City,Luton Town,3.67,0.51,3.16,60.0,3.0
33.0,Nott'ham Forest,Wolves,1.3,1.34,0.04,26.0,27.0
33.0,Brentford,Sheffield Utd,3.43,0.58,2.84,56.00000000000001,3.0
33.0,Newcastle Utd,Tottenham,2.45,1.05,1.4,35.0,9.0
33.0,Liverpool,Crystal Palace,2.63,0.84,1.78,43.0,7.000000000000001
33.0,West Ham,Fulham,2.08,1.16,0.92,31.0,12.0
33.0,Arsenal,Aston Villa,1.8,0.93,0.87,39.0,17.0
33.0,Burnley,Brighton,0.74,2.2,1.46,11.0,48.0
34.0,Wolves,Arsenal,0.72,2.01,1.29,13.0,49.0
34.0,Tottenham,Manchester City,0.98,2.11,1.13,12.0,38.0
34.0,Everton,Nott'ham Forest,1.98,0.86,1.12,42.0,14.000000000000002
34.0,Aston Villa,Bournemouth,3.44,0.78,2.66,46.0,3.0
34.0,Crystal Palace,West Ham,1.74,1.26,0.48,28.000000000000004,18.0
34.0,Fulham,Liverpool,0.84,2.91,2.07,5.0,43.0
34.0,Brighton,Chelsea,1.39,1.73,0.34,18.0,25.0
34.0,Luton Town,Brentford,0.99,2.47,1.48,8.0,37.0
34.0,Manchester Utd,Newcastle Utd,1.16,2.11,0.95,12.0,31.0
34.0,Sheffield Utd,Burnley,1.16,1.17,0.01,31.0,31.0
35.0,Wolves,Luton Town,2.16,1.04,1.12,35.0,12.0
35.0,Nott'ham Forest,Manchester City,0.64,2.28,1.65,10.0,53.0
35.0,Fulham,Crystal Palace,1.12,1.53,0.41,22.0,33.0
35.0,Aston Villa,Chelsea,1.69,1.62,0.07,20.0,18.0
35.0,West Ham,Liverpool,1.15,2.71,1.56,7.000000000000001,32.0
35.0,Everton,Brentford,1.53,1.49,0.04,23.0,22.0
35.0,Tottenham,Arsenal,0.89,1.89,0.99,15.0,41.0
35.0,Manchester Utd,Burnley,2.31,0.76,1.55,47.0,10.0
