,index,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,PrgR,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG per 90,xAG per 90,xG+xAG,npxG per 90,npxG+xAG per 90,season_years
346,397,398,Mohamed Salah,EGY,MF,Liverpool,31.0,1992.0,15.0,15.0,1289.0,14.3,10.0,6.0,16.0,7.0,3.0,4.0,1.0,0.0,10.2,6.9,6.0,12.9,43.0,70.0,153.0,0.7,0.42,1.12,0.49,0.91,0.71,0.42,1.13,0.48,0.9,2023-2024
347,75,76,Moises Caicedo,ECU,MF,Chelsea,22.0,2001.0,13.0,11.0,1004.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.9,1.0,5.0,50.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.09,0.02,0.09,2023-2024
348,170,171,Morgan Gibbs-White,ENG,MF,Nott'ham Forest,23.0,2000.0,15.0,13.0,1238.0,13.8,1.0,2.0,3.0,0.0,1.0,1.0,3.0,0.0,2.6,1.8,2.5,4.3,35.0,55.0,86.0,0.07,0.15,0.22,0.0,0.15,0.19,0.18,0.37,0.13,0.31,2023-2024
349,116,117,Moussa Diaby,FRA,MF,Aston Villa,24.0,1999.0,15.0,13.0,1012.0,11.2,3.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,2.7,2.7,3.8,6.6,40.0,35.0,85.0,0.27,0.36,0.62,0.27,0.62,0.24,0.34,0.58,0.24,0.58,2023-2024
350,322,323,Moussa Niakhate,SEN,DF,Nott'ham Forest,27.0,1996.0,9.0,6.0,555.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.1,0.1,0.0,0.1,4.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,2023-2024
351,313,314,Murillo,BRA,MF,Nott'ham Forest,21.0,2002.0,9.0,9.0,795.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.2,0.9,13.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.1,0.08,0.1,2023-2024
352,311,312,Mykhailo Mudryk,UKR,MF,Chelsea,22.0,2001.0,13.0,6.0,547.0,6.1,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.1,1.1,1.2,2.2,32.0,7.0,38.0,0.33,0.16,0.49,0.33,0.49,0.18,0.19,0.37,0.18,0.37,2023-2024
353,357,358,Myles Peart-Harris,ENG,MF,Brentford,21.0,2002.0,2.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
354,6,7,Naouirou Ahamada,FRA,MF,Crystal Palace,21.0,2002.0,8.0,0.0,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,9.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.08,0.06,0.08,2023-2024
355,12,13,Nathan Ake,NED,DF,Manchester City,28.0,1995.0,11.0,7.0,647.0,7.2,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.1,1.1,0.9,1.9,11.0,41.0,8.0,0.28,0.14,0.42,0.28,0.42,0.15,0.12,0.27,0.15,0.27,2023-2024
