,second_name,first_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,transfers_out,value_season,bonus,bps,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,points_per_game,value_form,value_season,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,id_x,id_y,plural_name,singular_name,pos_short,id,name,full_name
42,Davis,Keinan,2,4,0.1,49,0,4950,22851,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,39,4,Forwards,Forward,FW,2,Aston Villa,Keinan Davis
43,Dendoncker,Leander,2,3,0.0,49,117,2674,2821,3.9,3,61,19,0.73,0.01,0.74,1.58,0.56,0.01,0.57,1.22,2.7,0.5,3.9,1,1,0,3,0,0,0,0,0,0,40,3,Midfielders,Midfielder,MF,2,Aston Villa,Leander Dendoncker
44,Santos Silva,Diego Carlos,2,2,0.7,44,813,74836,55253,5.7,1,151,25,0.58,0.25,0.83,12.10,0.06,0.03,0.09,1.34,1.9,0.6,5.7,0,0,2,13,0,0,0,2,0,0,41,2,Defenders,Defender,DF,2,Aston Villa,Diego Carlos
45,Digne,Lucas,2,2,5.3,47,1521,984272,598605,11.9,2,283,56,0.37,2.74,3.11,21.91,0.02,0.16,0.18,1.3,3.1,0.7,11.9,0,3,5,20,0,0,0,5,0,0,42,2,Defenders,Defender,DF,2,Aston Villa,Lucas Digne
46,Soares de Paulo,Douglas Luiz,2,3,8.1,55,1563,1736729,1199512,15.3,15,371,84,4.02,2.29,6.31,23.03,0.23,0.13,0.36,1.33,4.7,0.5,15.3,5,3,4,24,0,0,0,5,0,0,43,3,Midfielders,Midfielder,MF,2,Aston Villa,Douglas Luiz
47,Duran,Jhon,2,4,0.2,50,140,49408,43960,3.8,3,64,19,0.81,0.05,0.86,2.14,0.52,0.03,0.55,1.38,1.6,0.1,3.8,2,0,0,1,0,0,0,4,0,0,44,4,Forwards,Forward,FW,2,Aston Villa,Jhon Duran
48,Hause,Kortney,2,2,0.2,39,0,12263,17151,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,45,2,Defenders,Defender,DF,2,Aston Villa,Kortney Hause
49,Iroegbunam,Tim,2,3,0.0,44,4,1439,3603,0.2,0,2,1,0.00,0.00,0.00,0.09,0.0,0.0,0.0,2.02,1.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,46,3,Midfielders,Midfielder,MF,2,Aston Villa,Tim Iroegbunam
50,Kamara,Boubacar,2,3,0.1,50,1347,13991,17535,6.2,1,200,31,0.13,1.21,1.34,19.12,0.01,0.08,0.09,1.28,1.9,0.2,6.2,0,1,5,18,0,0,0,6,1,0,47,3,Midfielders,Midfielder,MF,2,Aston Villa,Boubacar Kamara
51,Konsa Ngoyo,Ezri,2,2,3.1,46,1668,320282,117066,11.1,4,311,51,1.74,0.46,2.20,24.08,0.09,0.02,0.11,1.3,2.7,0.7,11.1,0,1,4,25,0,0,0,4,0,0,48,2,Defenders,Defender,DF,2,Aston Villa,Ezri Konsa
52,Martinez Romero,Emiliano,2,1,11.9,52,1620,999249,619725,11.5,9,332,60,0.00,0.00,0.00,23.62,0.0,0.0,0.0,1.31,3.3,0.8,11.5,0,0,4,24,1,0,0,3,0,53,49,1,Goalkeepers,Goalkeeper,GK,2,Aston Villa,Emiliano Martinez
53,McGinn,John,2,3,2.0,56,1616,262444,118819,13.8,8,298,77,2.83,3.03,5.86,21.55,0.16,0.17,0.33,1.2,4.1,0.8,13.8,5,2,4,23,0,0,0,4,0,0,50,3,Midfielders,Midfielder,MF,2,Aston Villa,John McGinn
54,Mings,Tyrone,2,2,1.2,41,30,10083,1064837,0.0,0,5,0,0.01,0.16,0.17,1.08,0.03,0.48,0.51,3.24,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,51,2,Defenders,Defender,DF,2,Aston Villa,Tyrone Mings
55,Olsen,Robin,2,1,0.7,39,90,25087,48975,0.5,0,12,2,0.00,0.00,0.00,0.73,0.0,0.0,0.0,0.73,2.0,0.0,0.5,0,0,0,1,0,0,0,0,0,1,53,1,Goalkeepers,Goalkeeper,GK,2,Aston Villa,Robin Olsen
56,Philogene-Bidace,Jaden,2,3,0.1,45,3,3755,14348,0.2,0,3,1,0.00,0.00,0.00,0.65,0.0,0.0,0.0,19.5,1.0,0.0,0.2,0,0,0,1,0,0,0,0,0,0,54,3,Midfielders,Midfielder,MF,2,Aston Villa,Jaden Philogene Bidace
57,Ramsey,Jacob,2,3,0.1,59,388,14237,18598,2.7,0,45,16,0.44,0.58,1.02,4.28,0.1,0.13,0.23,0.99,1.8,0.2,2.7,1,0,0,5,0,0,0,1,0,0,55,3,Midfielders,Midfielder,MF,2,Aston Villa,Jacob Ramsey
58,Sanson,Morgan,2,3,0.0,45,0,0,607,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,56,3,Midfielders,Midfielder,MF,2,Aston Villa,Morgan Sanson
59,Sinisalo,Viljami,2,1,0.0,40,0,0,361,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,57,1,Goalkeepers,Goalkeeper,GK,2,Aston Villa,Viljami Sinisalo
60,Tielemans,Youri,2,3,0.4,56,555,22656,95306,5.2,0,119,29,0.26,0.76,1.02,9.85,0.04,0.12,0.16,1.6,1.8,0.3,5.2,0,3,1,7,0,0,0,0,0,0,58,3,Midfielders,Midfielder,MF,2,Aston Villa,Youri Tielemans
61,Traore,Bertrand,2,3,0.0,50,10,1431,3282,0.4,0,6,2,0.00,0.00,0.00,0.77,0.0,0.0,0.0,6.93,1.0,0.0,0.4,0,0,0,0,0,0,0,0,0,0,59,3,Midfielders,Midfielder,MF,2,Aston Villa,Bertrand Traore
62,Watkins,Ollie,2,4,52.1,88,1669,5656372,2819366,12.7,14,378,112,8.58,2.03,10.61,23.63,0.46,0.11,0.57,1.27,5.9,0.5,12.7,9,9,4,25,0,0,0,3,0,0,60,4,Forwards,Forward,FW,2,Aston Villa,Ollie Watkins
63,Moraes Ferreira da Silva,Wesley,2,4,0.0,50,0,0,777,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,61,4,Forwards,Forward,FW,2,Aston Villa,Wesley Moraes Ferreira da Silva
64,Torres,Pau,2,2,5.7,47,1489,792027,473580,12.8,4,301,60,0.88,0.54,1.42,21.67,0.05,0.03,0.08,1.31,3.5,0.5,12.8,2,0,4,19,0,0,0,1,0,0,584,2,Defenders,Defender,DF,2,Aston Villa,Pau Torres
65,Diaby,Moussa,2,3,9.3,66,1205,2193474,1967638,11.8,5,232,78,3.02,2.57,5.59,15.28,0.23,0.19,0.42,1.14,4.1,0.3,11.8,3,7,4,18,0,0,0,0,0,0,599,3,Midfielders,Midfielder,MF,2,Aston Villa,Moussa Diaby
66,Kellyman,Omari,2,3,0.1,45,0,6792,7159,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,618,3,Midfielders,Midfielder,MF,2,Aston Villa,Omari Kellyman
67,Marschall,Filip,2,1,0.0,40,0,2852,1816,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,670,1,Goalkeepers,Goalkeeper,GK,2,Aston Villa,Filip Marschall
